question,option1,option2,option3,option4,correct_answer
What is the capital of France?,Lyon,Marseille,Nice,Paris,Paris
Who wrote "To Kill a Mockingbird"?,Mark Twain,Ernest Hemingway,F. Scott Fitzgerald,Harper Lee,Harper Lee
What is the largest planet in our Solar System?,Saturn,Mars,Earth,Jupiter,Jupiter
Who painted the Mona Lisa?,Vincent van Gogh,Pablo Picasso,Claude Monet,Leonardo da Vinci,Leonardo da Vinci
What is the smallest prime number?,1,3,5,2,2
Who is known as the "Father of Computers"?,Alan Turing,Thomas Edison,Albert Einstein,Charles Babbage,Charles Babbage
What year did the Titanic sink?,1905,1918,1925,1912,1912
What is the chemical symbol for gold?,Ag,Fe,Al,Au,Au
Who was the first man to walk on the moon?,Buzz Aldrin,Yuri Gagarin,John Glenn,Neil Armstrong,Neil Armstrong
What is the capital of Japan?,Osaka,Kyoto,Nagoya,Tokyo,Tokyo
What is the hardest natural substance on Earth?,Gold,Iron,Quartz,Diamond,Diamond
Who wrote "Pride and Prejudice"?,Emily Brontë,Charlotte Brontë,Mary Shelley,Jane Austen,Jane Austen
What is the tallest mountain in the world?,K2,Kangchenjunga,Lhotse,Mount Everest,Mount Everest
Who developed the theory of relativity?,Isaac Newton,Nikola Tesla,Galileo Galilei,Albert Einstein,Albert Einstein
What is the capital of Canada?,Toronto,Vancouver,Montreal,Ottawa,Ottawa
What element does "O" represent on the periodic table?,Gold,Silver,Iron,Oxygen,Oxygen
Who was the first President of the United States?,Thomas Jefferson,Abraham Lincoln,John Adams,George Washington,George Washington
What is the longest river in the world?,Amazon,Yangtze,Mississippi,Nile,Nile
What year did World War II end?,1940,1942,1950,1945,1945
What is the capital of Italy?,Milan,Venice,Florence,Rome,Rome
Who painted the Sistine Chapel ceiling?,Leonardo da Vinci,Raphael,Donatello,Michelangelo,Michelangelo
What is the largest ocean on Earth?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,Pacific Ocean
Who wrote "1984"?,Aldous Huxley,Ray Bradbury,J.D. Salinger,George Orwell,George Orwell
What is the main ingredient in guacamole?,Tomato,Onion,Garlic,Avocado,Avocado
Who discovered penicillin?,Louis Pasteur,Marie Curie,Isaac Newton,Alexander Fleming,Alexander Fleming
What is the capital of Australia?,Sydney,Melbourne,Brisbane,Canberra,Canberra
What is the square root of 64?,6,7,9,8,8
Who invented the telephone?,Thomas Edison,Nikola Tesla,Guglielmo Marconi,Alexander Graham Bell,Alexander Graham Bell
What is the chemical symbol for water?,HO2,H2,H2O,HO,H2O
What is the largest mammal in the world?,Elephant,Hippopotamus,Giraffe,Blue Whale,Blue Whale
Who was the first woman to fly solo across the Atlantic?,Harriet Quimby,Bessie Coleman,Jacqueline Cochran,Amelia Earhart,Amelia Earhart
What is the capital of Russia?,St. Petersburg,Kazan,Novosibirsk,Moscow,Moscow
What is the main ingredient in traditional paella?,Pasta,Potato,Bread,Rice,Rice
Who discovered America?,Ferdinand Magellan,Vasco da Gama,John Cabot,Christopher Columbus,Christopher Columbus
What is the boiling point of water in Celsius?,90,80,110,100,100
Who wrote "Hamlet"?,Charles Dickens,Mark Twain,Jane Austen,William Shakespeare,William Shakespeare
What is the capital of Germany?,Frankfurt,Munich,Hamburg,Berlin,Berlin
What is the smallest country in the world?,Monaco,San Marino,Liechtenstein,Vatican City,Vatican City
Who developed the polio vaccine?,Albert Sabin,Alexander Fleming,Robert Koch,Jonas Salk,Jonas Salk
What is the largest desert in the world?,Arabian,Gobi,Kalahari,Sahara,Sahara
What is the chemical symbol for sodium?,K,Sn,Ni,Na,Na
Who wrote "Moby-Dick"?,Mark Twain,Ernest Hemingway,F. Scott Fitzgerald,Herman Melville,Herman Melville
What is the capital of China?,Shanghai,Guangzhou,Shenzhen,Beijing,Beijing
What is the most abundant gas in the Earth's atmosphere?,Oxygen,Carbon Dioxide,Argon,Nitrogen,Nitrogen
Who painted "Starry Night"?,Pablo Picasso,Claude Monet,Edgar Degas,Vincent van Gogh,Vincent van Gogh
What is the currency of Japan?,Won,Yuan,Dollar,Yen,Yen
Who was the first human to journey into outer space?,Neil Armstrong,Buzz Aldrin,John Glenn,Yuri Gagarin,Yuri Gagarin
What is the capital of Brazil?,Rio de Janeiro,São Paulo,Salvador,Brasilia,Brasilia
Who wrote "The Catcher in the Rye"?,Ernest Hemingway,F. Scott Fitzgerald,John Steinbeck,J.D. Salinger,J.D. Salinger
What is the largest bone in the human body?,Skull,Spine,Tibia,Femur,Femur
What is the speed of light in vacuum?,300000000 m/s,150000000 m/s,299792000 m/s,299792458 m/s,299792458 m/s
Who was the British Prime Minister during World War II?,Neville Chamberlain,Clement Attlee,Harold Macmillan,Winston Churchill,Winston Churchill
What is the chemical symbol for iron?,Ir,In,F,Fe,Fe
Who wrote "The Odyssey"?,Virgil,Ovid,Sophocles,Homer,Homer
What is the tallest building in the world?,Shanghai Tower,Abraj Al-Bait Clock Tower,One World Trade Center,Burj Khalifa,Burj Khalifa
Who discovered the structure of DNA?,Darwin and Wallace,Curie and Einstein,Fleming and Koch,Watson and Crick,Watson and Crick
What is the capital of Spain?,Barcelona,Valencia,Sevilla,Madrid,Madrid
What is the most spoken language in the world?,English,Spanish,Hindi,Mandarin,Mandarin
Who wrote "The Divine Comedy"?,Geoffrey Chaucer,John Milton,William Shakespeare,Dante Alighieri,Dante Alighieri
What is the chemical formula for table salt?,H2O,CO2,KCl,NaCl,NaCl
Who was the first African-American President of the United States?,Martin Luther King Jr.,Colin Powell,Frederick Douglass,Barack Obama,Barack Obama
What is the capital of Egypt?,Alexandria,Giza,Luxor,Cairo,Cairo
What is the main ingredient in hummus?,Beans,Lentils,Peas,Chickpeas,Chickpeas
Who painted "The Last Supper"?,Michelangelo,Raphael,Donatello,Leonardo da Vinci,Leonardo da Vinci
What is the fastest land animal?,Lion,Tiger,Leopard,Cheetah,Cheetah
Who wrote "Jane Eyre"?,Emily Brontë,Anne Brontë,Jane Austen,Charlotte Brontë,Charlotte Brontë
What is the capital of India?,Mumbai,Bangalore,Chennai,New Delhi,New Delhi
What is the chemical symbol for carbon?,Co,Ca,Cu,C,C
Who wrote "War and Peace"?,Fyodor Dostoevsky,Anton Chekhov,Alexander Pushkin,Leo Tolstoy,Leo Tolstoy
What is the largest island in the world?,Australia,Borneo,New Guinea,Greenland,Greenland
